Feed,URL,Title,Published,Content
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.pwc.com/jp/ja/knowledge/thoughtleadership/agentic-ai-the-new-frontier-in-genai.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0C7cFmhaM8zVefj9TbeicU","エージェント型AI：<b>生成AI</b>の新領域 | PwC Japanグループ","2025-10-31T00:33:03.000Z","生成AIは、2030年までにさまざまなセクターで世界のGDPに対して年間2兆6,000億米ドルから4兆4,000億米ドル相当の貢献をする可能性があると推定されており、 ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://legalontech.jp/10028/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3kOK8cU_I8xuLdEthjqfKD","Google Cloud主催「第4回 <b>生成AI</b> Innovation Awards」の ファイナリストとして","2025-10-31T00:03:21.000Z","「第4回 生成 AI Innovation Awards」とは. 「Google Cloud」や同社のAIサービス「Gemini」の活用を通じた、企業・組織の課題解決や革新的な ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.dir.co.jp/report/column/20251031_012340.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0RqUstPBxYVr6j5t1Y-PSc","<b>生成AI</b>サービスと著作権問題 2025年10月31日 | 大和総研 | 田邉 美穂","2025-10-30T23:55:16.000Z","生成AIの進化とサービスの多様化に伴い、AIと著作権に関する問題を目にする機会が増えた。米国のOpenAI社が開発した動画生成AI「Sora2」を巡る著作権問題が ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.yomiuri.co.jp/economy/20251031-OYT1T50038/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw2IdmhZmoHRggwu4Q4uT4yA","アマゾン最終利益３８％増、四半期で過去最高…<b>生成ＡＩ</b>関連や広告事業が好調","2025-10-30T22:17:37.000Z","生成ＡＩサービスの提供基盤となるクラウド事業の売上高は２０％増の約３３０億ドルだった。同事業の営業利益は９％増の約１１４億ドルで、アマゾンの営業利益全体の６割超を ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.asteria.com/jp/inlive/social/7893/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3FcFJ8xWz8ZsWNZ6OuZNay","マンガでわかる<b>生成AI</b>【第15話】イベントのアイデアを企画してみよう | in.LIVE（インライブ）","2025-10-30T20:00:27.000Z","生成AIを使ったアイデア出し 最近では珍しくもなくなったが、生成AIを相談相手として使う方法。特にプロンプトのテクニックも必要なく、同僚や友だちと話す ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://togetter.com/li/2621923&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3_W1rcovymr0TI9D17_KBj","日本もこうなる？中国では<b>生成AI</b>で書いた小説で応募する人が増え新人賞が機能しない→高名な ...","2025-10-30T16:45:52.000Z","中国では生成AIで書かれた応募作が大量に増え、新人賞の機能が失われたため、高名作家や評論家に見出される以外に新人が出る道が残らず、対面で編集者を紹介 ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://aws.amazon.com/jp/builders-flash/202511/kintone-genai-distributed-tracing/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3tcD81H3i3M_Hp9BErC1Yt","kintone における<b>生成 AI</b> 機能の安全な運用 ~ 分散トレーシングによる運用課題の解決 - AWS","2025-10-30T16:23:07.000Z","大規模なマルチテナントの SaaS である kintone において生成 AI 機能を導入する際に起きた課題を、AWS CloudWatch Application Signalsを活用した ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://prtimes.jp/main/html/rd/p/000000008.000152114.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw2MDvM_-KY5qJQ_pXfLPqPi","<b>生成AI</b>との対話でBIMモデルを自動生成する「ChatBIM ACIMUS」、BIM最大の課題「建築設備 ...","2025-10-30T16:10:37.000Z","建築設備（MEP）対応第一弾！配管・枡の直感BIMモデリングと系統別ビューで、設備設計の見える化を実現！設計から維持管理の効率化を強力に推進し、生成AIによる ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.cinematoday.jp/news/N0151612&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3M2NRUUR9l5gKUiFY9G-II","「VIVANT」続編、<b>生成AI</b>映像を使用へ TBS地上波ドラマ初導入 - シネマトゥデイ","2025-10-30T15:22:54.000Z","2026年に放送を予定している日曜劇場「VIVANT」（TBS系）の続編で、生成AI映像を導入することが明らかになった。TBSドラマとして史上初の試みとなる。"
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://eiga.com/news/20251030/29/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3EhZlIZACozW13U0WUWBnX","「VIVANT」続編、<b>生成AI</b>映像の使用を発表 TBSドラマ初の試み - 映画.com","2025-10-30T15:03:26.000Z","2026年放送予定の日曜劇場「VIVANT」続編で、TBSドラマとして初めて地上波本編にGoogleのメディア生成AI「Veo3」による生成AI映像が導入されることがわかっ ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://type.jp/et/feature/29586/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0Q_O-M-zUWgfWtrbwB_TFX","「日本は遅れてなんかない」1000社以上の<b>AI</b>企業をみたシバタナオキが語る - TYPE","2025-10-30T14:55:57.000Z","シリコンバレーを中心に1000社超の生成AIスタートアップを精査し、数十社へ投資してきまた彼が見つけた、“アフターAI”時代に日本が逆転できる理由とは——。 ※本 ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.itmedia.co.jp/aiplus/articles/2510/30/news102.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw1KLgYqsb0T6PhDGEuVqsZb","TBS、ドラマ「VIVANT」続編に動画<b>生成AI</b> 「Veo 3」の映像を採用へ 地上波放送のドラマで初","2025-10-30T14:51:01.000Z","TBSは、現在制作中のテレビドラマ「VIVANT」続編に、動画生成AI「Veo 3」の映像を採用すると発表した。"
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.nttpc.co.jp/gpu/article/report33.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0rCth2zJVAT9bUtFeD41TO","【イベント参加レポート】DDN主催『AI Data Summit Tokyo』 ～<b>生成AI</b>に求められる次世代 ...","2025-10-30T14:43:38.000Z","2025年9月に開催されたDDN Japan主催「AI Data Summit Tokyo」に参加しました！生成AIが「学習から推論へ」と移行する中で求められる次世代インフラとデータ ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.nikkei.com/article/DGXZQOUC305JA0Q5A031C2000000/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0s-bvfePDN5G1STbGFTYhn","NTTデータG、全社員20万人を実践的な<b>生成AI</b>人材に - 日本経済新聞","2025-10-30T14:38:03.000Z","NTTデータグループは、生成AI（人工知能）の人財育成で当初の目標を前倒しで達成したと発表した。2026年度末までに実践的な人材の育成3万人という当初目標を ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.technologyreview.jp/s/371535/deepseek-may-have-found-a-new-way-to-improve-ais-ability-to-remember/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw3AYWB5rrt-DpAAZ2bbobnW","ディープシークの新OCRモデル、<b>AI</b>の記憶を「視覚トークン」で効率化 - MITテクノロジーレビュー","2025-10-30T14:22:41.000Z","新技術は、AIモデルの訓練用データをより多く生成する手段としても活用できる。現在、モデル開発者たちは高品質な訓練用テキストの深刻な不足に直面している。"
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://forest.watch.impress.co.jp/docs/serial/aistream/2059356.html&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw1VcohJ4AYbgwrv9PI9AkNG","「Sora 2」で蹂躙されたAI時代の著作権と“反撃の狼煙” - <b>生成AI</b>ストリーム - 窓の杜","2025-10-30T14:14:48.000Z","OpenAIが2025年9月30日に発表した動画生成AI「Sora 2」は、単なるバズり動画を生成するサービスや技術革新ではなく、日本の法制度に対する意図的な挑戦であっ ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://aismiley.co.jp/ai_news/20251118_webinar/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw2ObJ1zf_2tAaFbWyL1XtcM","【11/18開催】<b>AI</b>の性能と安全性を両立する<b>AI</b>データ戦略ウェビナー 高品質データの重要性から<b>AI</b> ...","2025-10-30T14:14:24.000Z","生成AIの導入が進む今、AIやデータ活用における次の課題は「品質管理と安全性 ... 音声生成AIとは？ 文章生成AI. OpenAIの文字起こしAI「Whisper」とは ..."
"Google Alerts - 生成AI","https://www.google.com/url?rct=j&sa=t&url=https://www.kisarazu-cci.or.jp/2025/10/30/%25E7%2594%259F%25E6%2588%2590ai%25E6%25B4%25BB%25E7%2594%25A8%25E3%2582%25BB%25E3%2583%259F%25E3%2583%258A%25E3%2583%25BC%25E3%2580%258C%25E6%2599%2582%25E7%259F%25AD%25E3%2581%25A8%25E6%2588%2590%25E6%259E%259C%25E3%2581%25AE%25E4%25B8%25A1%25E7%25AB%258B%25EF%25BC%2581ai%25E6%25B4%25BB%25E7%2594%25A8-%25E7%2588%2586/&ct=ga&cd=CAIyGmM4ZjhjN2M5ZTEwMjc5Mzg6Y29tOmphOlVT&usg=AOvVaw0DMJUvytbkptczppqmv14_","<b>生成AI</b>活用セミナー「時短と成果の両立！AI活用 爆速仕事術」開催のお知らせ","2025-10-30T13:56:02.000Z","業務の効率化から販促・経営戦略まで幅広く活用できる「生成AI」の最新活用法を学ぶセミナーを開催します。 今回は、全国で高い評価を受ける小宮山真吾氏（ ..."
